player,duration,fight_count,primary_role,av_count
Petrol,2598.504733333334,1723.0,damage,1.5081281098858585
Brian,2534.7395666666666,1433.0,damage,1.768834310304722
Metonymy,2231.8750666666665,1695.0,damage,1.3167404523107178
Ayriea,2225.293466666667,1652.0,damage,1.347029943502825
Shadowbaine,2100.7596699999995,1553.0,damage,1.352710669671603
Divanance,1985.4568333333332,1712.0,tank,1.1597294587227414
Shallowfall,1983.9926666666674,1496.0,damage,1.326198306595366
Cagliostro,1979.4558933333328,1487.0,damage,1.331174104460883
Earrl,1933.16365,1688.0,tank,1.1452391291469195
Radiantldeal,1869.7390500000001,1635.0,healer,1.1435712844036698
Psychodruid,1812.6848500000003,1489.0,damage,1.217384049697784
Velryssa,1621.8487566666663,1098.0,damage,1.4770935853066178
Stradivarus,1346.6406499999998,934.0,damage,1.4417994111349035
Vaelyra,1219.3177599999995,1604.0,damage,0.7601731670822939
Illestra,1066.9372000000003,1693.0,healer,0.6302050797401065
Acturus,128.81476,1670.0,healer,0.07713458682634732
Mythrose,10.743483333333335,1676.0,healer,0.0064101929196499615
