log_id,log_start,log_end,pull_id,pull_start,pull_end,boss_id,boss_name,difficulty,kill,player_name
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Gengib
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Doublechin
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Artemíst
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Proplay
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Dazeroc
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Nexx
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Korzara
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Getscared
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Pinkpanzer
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Vedalken
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Psykhe
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Rekcots
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Draigo
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Porblas
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Ecnaillakcuf
3y2pzXmMw7DtfFhN,1574565267591.0,1575098167954.0,12,522675927,522768659,663,Lucifron,3,True,Lilswig
