Name,Level
Petroll,50
Metönymy,48.68
Valmet,48.17
Ayriea,47.54
Earrl,47.33
Illestrae,47.31
Divinance,47.02
Caydd,46.69
Velryssa,46.1
Kohbee,45.8
Jampers,45.5
Acturus,45.3
Psychodruid,45.16
Elzam,44.68
Soome,44.35
Shadowbaine,44.3
Kopyedeep,44.15
Mythroes,43.32
Toyqt,43.31
Tawn,43.12
Brianjr,42.89
Tahvee,42.67
Irvaeryss,42.23
Stradivarus,42.17
Atalya,40.76
