Aug-28-18	Sep-05-18
20	21
20	21
19	21
19	21
19	21
19	21
19	21
19	20
19	20
18	20
18	20
18	20
18	20
18	20
18	20
18	19
17	19
17	18
17	18
16	18
16	18
16	18
14	17
11	15
