Name,Level
Petroll,48.89
Metönymy,47.45
Valmet,47.03
Ayriea,46.32
Illestrae,46.28
Earrl,46.14
Divinance,46
Caydd,45.65
Velryssa,45.15
Jampers,44.52
Kohbee,44.41
Acturus,44.22
Psychodruid,44.13
Elzam,43.73
Shadowbaine,43.63
Kopyedeep,43.28
Soome,43.09
Mythroes,42.52
Stradivarus,42.17
Toyqt,42
Tawn,41.85
Brianjr,41.62
Irvaeryss,41.5
Atalya,40.43
Tahvee,39.56
