Name,Level
Metönymy,50
Petroll,50
Valmet,50
Illestrae,49.79
Divinance,49.77
Earrl,49.76
Caydd,49.63
Ayriea,49.21
Kohbee,48.74
Velryssa,48.42
Jampers,47.79
Soome,47.31
Acturus,47.06
Elzam,47.02
Brianjr,46.79
Kopyedeep,46.62
Psychodruid,46.6
Tawn,46.58
Shadowbaine,46.4
Hokk,46.35
Mythroes,45.18
Atalya,44.81
Irvaeryss,44.67
Toyqt,44.35
Tahvee,44.06
