log_id,pull_id,start_time,end_time,boss_id,boss_name,kill,player_name
VhmB61LqvrRQPFwJ,10,5700494,6341413,2092,Argus the Unmaker,False,Shadowbaine
VhmB61LqvrRQPFwJ,10,5700494,6341413,2092,Argus the Unmaker,False,Earrl
VhmB61LqvrRQPFwJ,10,5700494,6341413,2092,Argus the Unmaker,False,Tawñ
VhmB61LqvrRQPFwJ,10,5700494,6341413,2092,Argus the Unmaker,False,Petrol
VhmB61LqvrRQPFwJ,10,5700494,6341413,2092,Argus the Unmaker,False,Illestra
VhmB61LqvrRQPFwJ,10,5700494,6341413,2092,Argus the Unmaker,False,Shaami
VhmB61LqvrRQPFwJ,10,5700494,6341413,2092,Argus the Unmaker,False,Velsummers
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Vaelyra
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Psychodruid
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Ayriea
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Radiantldeal
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Brian
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Cagliostro
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Uuglei
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Metonymy
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Acturus
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Mythrose
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Stradivarus
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Divanance
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Velryssa
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Shadowbaine
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Earrl
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Tawñ
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Petrol
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Illestra
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Shaami
VhmB61LqvrRQPFwJ,11,6910062,7572164,2092,Argus the Unmaker,False,Velsummers
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Vaelyra
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Psychodruid
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Ayriea
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Radiantldeal
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Brian
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Cagliostro
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Uuglei
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Metonymy
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Acturus
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Mythrose
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Stradivarus
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Divanance
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Velryssa
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Shadowbaine
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Earrl
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Tawñ
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Petrol
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Illestra
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Shaami
VhmB61LqvrRQPFwJ,12,7688907,7874766,2092,Argus the Unmaker,False,Velsummers
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Vaelyra
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Psychodruid
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Ayriea
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Radiantldeal
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Brian
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Cagliostro
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Uuglei
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Metonymy
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Acturus
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Mythrose
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Stradivarus
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Divanance
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Velryssa
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Shadowbaine
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Earrl
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Tawñ
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Petrol
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Illestra
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Shaami
VhmB61LqvrRQPFwJ,13,7956210,8439324,2092,Argus the Unmaker,False,Velsummers
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Vaelyra
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Psychodruid
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Ayriea
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Radiantldeal
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Brian
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Cagliostro
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Uuglei
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Metonymy
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Acturus
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Mythrose
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Stradivarus
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Divanance
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Velryssa
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Shadowbaine
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Earrl
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Tawñ
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Petrol
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Illestra
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Shaami
VhmB61LqvrRQPFwJ,14,8539749,9201998,2092,Argus the Unmaker,True,Velsummers
