Name,Level
Petroll,47.17
Metönymy,45.44
Valmet,45.25
Illestrae,44.47
Ayriea,44.38
Earrl,44.3
Divinance,44.25
Caydd,44.14
Jampers,42.97
Elzam,42.5
Velryssa,42.46
Acturus,42.28
Psychodruid,42.25
Kohbee,42.18
Kopyedeep,41.57
Shadowbaine,41.42
Stradivarus,40.87
Mythroes,40.86
Ultray,39.83
Tawn,39.71
Irvaeryss,39.69
Brianjr,39.26
Toyqt,38.96
Tahvee,38.21
