"Name","Att.%","Uld10/16","Uld10/11","Uld10/10","Uld10/9","Uld10/9","Uld10/4","Uld10/3","Uld10/2","Uld10/2","Uld10/2","Uld9/26","Uld9/25","Uld9/19","Uld9/18","Uld9/13","Uld9/12"
"Acturus","93%","","","","","","","","","","","","","","","",""
"Ayriea","100%","","","","","","","","","","","","","","","",""
"Brian","93%","","","","","","","","","","","","","","","",""
"Cagliostro","87%","","","","","","","","","","","","","","","",""
"Czef","6%","","","","","","","","","","","","","","","",""
"Dough","37%","","","","","","","","","","","","","","","",""
"Draigo","100%","","","","","","","","","","","","","","","",""
"Earrl","100%","","","","","","","","","","","","","","","",""
"Heavenlylite","6%","","","","","","","","","","","","","","","",""
"Humanraptor","6%","","","","","","","","","","","","","","","",""
"Illestra","100%","","","","","","","","","","","","","","","",""
"Invinceble","6%","","","","","","","","","","","","","","","",""
"Jampers","93%","","","","","","","","","","","","","","","",""
"Katanescence","81%","","","","","","","","","","","","","","","",""
"Kopyelock","12%","","","","","","","","","","","","","","","",""
"Liavre","93%","","","","","","","","","","","","","","","",""
"Metonymy","100%","","","","","","","","","","","","","","","",""
"Mythrose","100%","","","","","","","","","","","","","","","",""
"Oakinon","6%","","","","","","","","","","","","","","","",""
"Petrol","100%","","","","","","","","","","","","","","","",""
"Psychodruid","87%","","","","","","","","","","","","","","","",""
"Quasilloyd","6%","","","","","","","","","","","","","","","",""
"Shadowbaine","87%","","","","","","","","","","","","","","","",""
"Stradlock","87%","","","","","","","","","","","","","","","",""
"Sumi","87%","","","","","","","","","","","","","","","",""
"Tawn","93%","","","","","","","","","","","","","","","",""
"Toy","93%","","","","","","","","","","","","","","","",""
"Uuglei","93%","","","","","","","","","","","","","","","",""
"Vaelyra","93%","","","","","","","","","","","","","","","",""
"Vampyric","100%","","","","","","","","","","","","","","","",""
"Velryssa","100%","","","","","","","","","","","","","","","",""
