amount
6645.0
6535.0
5205.0
5595.0
16590.0
13290.0
17370.0
7985.0
5230.0
4515.0
10685.0
11360.0
5975.0
7995.0
7300.0
4835.0
6370.0
10510.0
6250.0
5010.0
5030.0
13845.0
