player,damage_taken,fight_count,av_count
Vaelyra,10437040216,11,948821837.8181819
Cagliostro,11465834074,11,1042348552.1818181
Brian,11917381865,11,1083398351.3636363
Illestra,12690268095,11,1153660735.909091
Radiantldeal,13277800031,11,1207072730.090909
Mythrose,13746439005,11,1249676273.1818182
Petrol,14279485401,11,1298135036.4545455
Metonymy,14750925442,11,1340993222.0
Acturus,16042259564,11,1458387233.090909
Earrl,35159569367,11,3196324487.909091
Divanance,52239712336,11,4749064757.818182
