thrower,dunker,av_t_duration,av_d_duration,combined_duration
Ayriea,Psychodruid,5634.787958115183,5199.01329787234,10833.801255987524
Velsummers,Earrl,5390.137457044673,9108.320634920636,14498.458091965309
Kopyelock,Petrol,6207.037288135593,8257.395683453238,14464.43297158883
Illestra,Draigo,7273.197278911564,6304.125925925926,13577.32320483749
Metonymy,Shadowbaine,6946.752336448598,5353.751243781095,12300.503580229692
Tawn,Stradlock,6382.321739130435,6967.75,13350.071739130435
